Барашек,+996 (312) 52‒11‒11,"1,000.00сом"
Social Coffee,+996 701‒60‒40‒40,600.00сом
Тюбетейка,+996 775‒97‒70‒70,850.00сом
Dodo Pizza,+996 (312) 550‒550,850.00сом
Forbes,+996 (312) 61‒07‒07,700.00сом
Chinatown,+996 (312) 66‒45‒55,800.00сом
Coffe Relax,"+996 (312) 46‒09‒01
+996 706‒46‒09‒01",600.00сом
ProKazan,+996 556‒53‒33‒37,"1,300.00сом"
Mounterra,+996 704–77–27–27,500.00сом
Solutel,"+996 (312) 90–30–30
+996 701–90–30–30
+996 700–27–77–85","1,000.00сом"
Frunze,+996 (312) 66‒44‒66,"1,500.00сом"
Sova,+996 550‒94‒55‒55,800.00сом
Prego Club,+996 (312) 88‒08‒18,"1,200.00сом"
Silk Road Lodge,+996 (312) 88‒08‒18,"1,200.00сом"
Арзу,+996 558‒58‒18‒76,800.00сом
Винотека,+996 707‒33‒01‒05,"1,000.00сом"
WOK House,+996 557‒84‒41‒14,170.00сом
De Marco,"+996 (312) 540–430
+996 500–540–430
+996 776–540–430",500.00сом
Saltanat Palace,+996 706‒42‒29‒99,"2,000.00сом"
Империя Пиццы,"+996 (312) 51–07–07
+996 551–51–07–07
+996 704–51–07–07
+996 772–51–07–07
+996 (312) 98–63–23
+996 (312) 54–94–11",500.00сом
Фаиза,+996 555‒32‒49‒21,300.00сом
Дияр,"+996 550‒555‒999
+996 777‒99‒77‒99
+996 555‒51‒11‒15",800.00сом
Zolden Beer,"+996 (312) 97‒92‒22
+996 559‒97‒92‒22","1,200.00сом"
Cheback Pub,+996 (312) 62‒56‒70,500.00сом
Ala-Too,"+996 (312) 54–33–33
+996 701–54–33–33",
Navat,+996 551‒53‒11‒11,800.00сом
Чукотка Pub,+996 556‒40‒64‒06,500.00сом
Бублик,+996 551‒15‒55‒55,500.00сом
Korean House,+996 (312) 44‒23‒11,800.00сом
Kim’s,+996 552‒54‒22‒22,"1,200.00сом"
Охота на овец,+996 700‒55‒55‒44,800.00сом
Хабиби,+996 554‒02‒02‒44,"1,000.00сом"
Пур-пур,+996 (312) 32‒30‒53,900.00сом
Талисман,+996 777‒55‒99‒99,"1,200.00сом"
KFC,+996 555‒88‒05‒70,350.00сом
Barclays,+996 (312) 21‒12‒11,700.00сом
Шашлычная n1,+996 551‒70‒60‒80,700.00сом
Алтын Казына,"+996 (312) 61‒71‒50
+996 555‒44‒75‒75","1,500.00сом"
Саксаул,+996 (312) 52‒09‒96,800.00сом
Центр Плова,+996 550‒88‒77‒77,700.00сом
Consul,+996 551–98–48–48,"1,500.00сом"
Mario,"+996 558‒76‒75‒57
+996 553‒10‒81‒08",800.00сом
Zavod Pub,+996 702‒08‒00‒80,"1,000.00сом"
Хижина дяди тома,"+996 555‒93‒08‒08
+996 777‒93‒80‒08","1,000.00сом"
Омар Хаям,+996 556‒99‒07‒07,"1,000.00сом"
Sierra,"+996 (312) 31‒12‒48
+996 (312) 31‒15‒06",350.00сом
Tuman Bar,+996 704‒88‒84‒44,450.00сом
Torro Grill,+996 555‒67‒89‒99,800.00сом
Император,+996 (312) 51‒15‒13,600.00сом
Арабеск,+996 703‒01‒07‒03,400.00сом
Supara,+996 (312) 46‒50‒51,"1,200.00сом"
Сон Кол,"+996 703‒53‒17‒17
+996 554‒655‒655
","1,300.00сом"
АК Бата,"+996 555‒37‒44‒44
+996 707‒37‒44‒00
+996 555‒37‒44‒00",500.00сом
Metro Pub,"+996 (312) 31‒07‒11
+996 558‒05‒05‒05",700.00сом
Континенталь Голд,"+996 (312) 43‒98‒98
+996 (312) 42‒45‒88
+996 558‒42‒45‒88
+996 558‒43‒98‒98",500.00сом
Nova,"+996 (312) 51‒78‒01
+996 559‒51‒16‒55",700.00сом
Dolce Vita,+996 (312) 54–39–84,500.00сом
Urban shisha and coffee,+996 700‒66‒66‒05,"1,000.00сом"
Mr. Mao,"+996 550‒519‒999
+996 706‒519‒999","1,000.00сом"
Ugolok,"+996 770‒33‒31‒11
+996 557‒33‒31‒11","1,000.00сом"
Ормон Хан,"+996 (312) 52‒00‒00
+996 550‒52‒00‒00",700.00сом
Бар на крыше,+996 558‒86‒08‒60,"1,500.00сом"
Пионер,+996 (312) 57‒07‒68,"1,000.00сом"
Sushi Room,"+996 (312) 62‒32‒24
+996 700‒62‒32‒24","1,000.00сом"
Ассорти Бухара,+996 555‒300‒200,700.00сом
Ожак Кебаб,+996 555‒67‒33‒41,300.00сом
Vanilla Sky,+996 770‒555‒082,650.00сом
Coyote Ugly,+996 775‒99‒99‒55,"1,000.00сом"
Furusato,+996 554‒40‒06‒33,500.00сом
My shisha center,+996 700‒61‒20‒37,"1,200.00сом"
Сармерден,"+996 703‒47‒48‒74
+996 777‒47‒48‒74
+996 706‒18‒18‒18
","1,000.00сом"
No name,+996 703-420-420,600.00сом
LiveBar,"+996 557‒59‒49‒99
+996 (312) 59‒49‒99","1,500.00сом"
Инсар,"+996 (312) 36‒89‒46
+996 552‒57‒12‒10
+996 707‒32‒14‒67
+996 707‒99‒99‒98",700.00сом
Москва,+996 701‒100‒100,700.00сом
Traveler’s Coffee,"+996 773‒38‒88‒38
+996 777‒30‒83‒67",500.00сом
Koreana,+996 550‒300‒200,500.00сом
Burger House,+996 776‒28‒74‒37,400.00сом
ГлавПивТрест,"+996 (312) 51‒39‒79
+996 700‒22‒27‒09","1,000.00сом"
Joma,"+996 709‒51‒44‒99
+996 555‒51‒44‒99",850.00сом
Бухара,"+996 (312) 62‒01‒66
+996 555‒19‒44‒44",800.00сом
Sunduk,+996 707‒00‒07‒11,600.00сом
Adriano Coffee,"+996 (312) 90‒20‒54
+996 555‒70‒70‒83",500.00сом
Пристань,+996 (312) 35‒34‒80,500.00сом
Daamduu,"+996 708‒96‒00‒99
+996 704‒93‒58‒58",60.00сом
Ak-Orgo,"+996 552‒01‒35‒21
+996 (312) 41‒01‒01
+996 700‒46‒62‒66
+996 703‒77‒77‒54",750.00сом
Koreana Family,+996 559‒300‒200,"1,000.00сом"
Obama Bar&Grill,"+996 (312) 66‒47‒53
+996 778‒68‒50‒02","1,200.00сом"
Bellagio,"+996 (312) 97‒68‒68
+996 770‒58‒77‒77
+996 703‒58‒77‒77",800.00сом
Силла,"+996 (312) 57‒53‒17
+996 (312) 51‒19‒90
+996 773‒57‒53‒17",700.00сом
Чайхана n1,"+996 551‒51‒09‒25
+996 550‒54‒76‒03",500.00сом
Navigator,"+996 (312) 66‒51‒51
+996 (312) 30‒04‒12
+996 772‒50‒04‒11","1,500.00сом"
